iter	Logloss
0	0.6740480006
1	0.6559580103
2	0.6388299217
3	0.6232214358
4	0.6082608674
5	0.5950280303
6	0.5829162678
7	0.5717220513
8	0.5610959971
9	0.5513559946
10	0.5424997304
11	0.5342029712
12	0.5267574087
13	0.519644494
14	0.5131632672
15	0.507252035
16	0.5014003765
17	0.4958834034
18	0.4908784585
19	0.4867066307
20	0.4827444732
21	0.4786301441
22	0.474793203
23	0.4715499602
24	0.4683177023
25	0.4652459
26	0.4624547434
27	0.4597435019
28	0.4572413075
29	0.4548086862
30	0.4522669449
31	0.4499743206
32	0.4467852745
33	0.4447420598
34	0.4429215725
35	0.4411260646
36	0.4393437774
37	0.4372842052
38	0.4359208632
39	0.4343880282
40	0.4328685888
41	0.4315665764
42	0.4294923725
43	0.4281477105
44	0.4267425692
45	0.424635948
46	0.4231530953
47	0.4215036881
48	0.4193723604
49	0.4184159142
50	0.4171767799
51	0.415819168
52	0.4137164566
53	0.4128038376
54	0.4116835262
55	0.410712788
56	0.4099043918
57	0.4085749196
58	0.4076594825
59	0.4059288007
60	0.4043811095
61	0.4038517476
62	0.4031823062
63	0.4021004687
64	0.4014745783
65	0.4003824519
66	0.3988904131
67	0.3983014913
68	0.3971961597
69	0.396249731
70	0.3947929784
71	0.3941493689
72	0.3929470806
73	0.392532507
74	0.3914122689
75	0.3909369463
76	0.3902853956
77	0.3898233246
78	0.3891164328
79	0.3881419167
80	0.3869740803
81	0.3862061288
82	0.3855345393
83	0.3845454317
84	0.3837410028
85	0.3831321325
86	0.3827693133
87	0.3820725506
88	0.3814219643
89	0.3807240243
90	0.3804778933
91	0.3799516706
92	0.3793375591
93	0.3789380371
94	0.3785381025
95	0.3781385441
96	0.377234069
97	0.3757425434
98	0.374861389
99	0.3744516251
100	0.3733402931
101	0.3726951815
102	0.3720110397
103	0.3710044445
104	0.3702343308
105	0.3699691013
106	0.36919024
107	0.3687236238
108	0.3682561149
109	0.3678824869
110	0.3670440729
111	0.3658368574
112	0.3654336437
113	0.365032383
114	0.364228773
115	0.3634936411
116	0.3629723524
117	0.3624481243
118	0.3612504667
119	0.3602280829
120	0.3597542993
121	0.3592478419
122	0.3589533083
123	0.3587164938
124	0.3582467766
125	0.3579558576
126	0.3575799104
127	0.3571394127
128	0.3566960899
129	0.3563096352
130	0.3560839532
131	0.3558088269
132	0.3553698853
133	0.3551565597
134	0.3548825904
135	0.3543729406
136	0.3540538461
137	0.3531251356
138	0.3526920288
139	0.3521352612
140	0.351521506
141	0.3504998874
142	0.3502481223
143	0.3500408819
144	0.3491463659
145	0.3488668644
146	0.3482249919
147	0.348044252
148	0.3473287067
149	0.3466689614
150	0.3453426833
151	0.3450462672
152	0.3449020028
153	0.3445186516
154	0.3442818128
155	0.3434671107
156	0.3430749185
157	0.342810586
158	0.3421620107
159	0.3420542035
160	0.3418191066
161	0.3415490763
162	0.3404956152
163	0.3402388739
164	0.3398690965
165	0.3396954224
166	0.3396004838
167	0.339091207
168	0.3385387349
169	0.3381134694
170	0.3378995892
171	0.3375975528
172	0.3373826331
173	0.3372401148
174	0.3370239497
175	0.336658154
176	0.3364220434
177	0.3354838527
178	0.3349914225
179	0.3345015283
180	0.3342175824
181	0.3337524233
182	0.3332216899
183	0.3329646915
184	0.332412775
185	0.331760272
186	0.3315426718
187	0.3314736206
188	0.3311514004
189	0.3309618704
190	0.3308612096
191	0.3304161559
192	0.3300828463
193	0.3298374906
194	0.329626924
195	0.3293619208
196	0.3291227567
197	0.328670001
198	0.3281937051
199	0.3278919103
200	0.3276565701
201	0.3274775747
202	0.3272544384
203	0.3269090932
204	0.3266052142
205	0.3263893619
206	0.3260408296
207	0.3259220237
208	0.3257087813
209	0.324969371
210	0.3243663413
211	0.3242402355
212	0.3240460265
213	0.3237300162
214	0.3235860976
215	0.3234288806
216	0.3231933978
217	0.3228314479
218	0.3225230017
219	0.3224143055
220	0.3220749624
221	0.3219956345
222	0.3218739136
223	0.3217095343
224	0.3208923129
225	0.3199789016
226	0.3198178736
227	0.3195775929
228	0.3194034326
229	0.3190673593
230	0.3188772253
231	0.3184640914
232	0.3179871494
233	0.3177406993
234	0.3175195332
235	0.3173459309
236	0.3169947918
237	0.3168238895
238	0.316539054
239	0.3161497354
240	0.315921951
241	0.3158025356
242	0.3156260322
243	0.3155405909
244	0.3154081873
245	0.3152701782
246	0.3151396111
247	0.3149912478
248	0.3143398759
249	0.3141459638
250	0.3138835017
251	0.3136692506
252	0.313539614
253	0.3133862553
254	0.3131725737
255	0.3129351094
256	0.3127863791
257	0.3127243298
258	0.3124276957
259	0.3121106178
260	0.3119989624
261	0.3117607495
262	0.3113931757
263	0.3108530066
264	0.3107930027
265	0.3104563103
266	0.3102790166
267	0.3094458793
268	0.3093101516
269	0.3085365229
270	0.3080958318
271	0.3079115886
272	0.3076657177
273	0.3073941939
274	0.3071687506
275	0.307052717
276	0.3065211449
277	0.3062290822
278	0.3061644591
279	0.3061170885
280	0.3059220953
281	0.3053365699
282	0.3052149313
283	0.3048977521
284	0.3046802635
285	0.3045316291
286	0.304444089
287	0.3043342169
288	0.3039336039
289	0.3035975284
290	0.3034332631
291	0.3032813572
292	0.3032350454
293	0.3031433163
294	0.3030002944
295	0.3029433886
296	0.302884989
297	0.3028339827
298	0.3023498855
299	0.3021546088
300	0.3016975972
301	0.3016149214
302	0.3014972511
303	0.3014450944
304	0.3013526949
305	0.3013073417
306	0.3008593367
307	0.3001813906
308	0.3000896157
309	0.2999628253
310	0.2999002677
311	0.2993281678
312	0.2990794085
313	0.2990454195
314	0.2988297612
315	0.2987561268
316	0.2982784211
317	0.297989438
318	0.2979118247
319	0.2978523974
320	0.2974036816
321	0.2972370352
322	0.297135335
323	0.2961607187
324	0.2957719533
325	0.295714371
326	0.2956428711
327	0.2953962109
328	0.29439678
329	0.29435076
330	0.2941677768
331	0.2940588933
332	0.2937546787
333	0.2935640984
334	0.2932790402
335	0.2930078176
336	0.2928330171
337	0.2926056588
338	0.2916985202
339	0.2916643396
340	0.2916195587
341	0.2913354919
342	0.2912752825
343	0.2910661609
344	0.2909823337
345	0.2909489645
346	0.2906492067
347	0.2904563112
348	0.2900906673
349	0.2899762995
350	0.289551227
351	0.2892759192
352	0.2887350173
353	0.2884141378
354	0.2883041891
355	0.2879503742
356	0.2878477681
357	0.2878061596
358	0.2877691879
359	0.2876426999
360	0.2874224029
361	0.2873815938
362	0.2873399833
363	0.2872044032
364	0.2870136263
365	0.2869596254
366	0.2865409077
367	0.2862409932
368	0.2859999185
369	0.2859361578
370	0.2859066773
371	0.2854436028
372	0.2854032779
373	0.2852388513
374	0.2846091165
375	0.2843811081
376	0.2839486722
377	0.2837544161
378	0.2834960886
379	0.2831699416
380	0.2827220675
381	0.2825362514
382	0.2820037404
383	0.2819784034
384	0.2816963696
385	0.281620864
386	0.281555136
387	0.2813545034
388	0.2813028581
389	0.2812016226
390	0.2807010174
391	0.2805114371
392	0.2801739697
393	0.2800417226
394	0.2797788869
395	0.27973518
396	0.2794794369
397	0.2793818583
398	0.2792674966
399	0.2787697597
400	0.27845487
401	0.2782328498
402	0.2776617468
403	0.277616401
404	0.2773474037
405	0.2772268665
406	0.2770950307
407	0.2767533019
408	0.2766027477
409	0.2762765107
410	0.2761312508
411	0.2758701305
412	0.2757862696
413	0.2755662441
414	0.2753876659
415	0.2753494204
416	0.2752176969
417	0.2749331496
418	0.2746874972
419	0.2744771773
420	0.2744552486
421	0.2741528289
422	0.2740831285
423	0.274076617
424	0.2736650387
425	0.2736323881
426	0.2735927195
427	0.2733251083
428	0.2730275696
429	0.2729081263
430	0.2727579701
431	0.272712254
432	0.2726257782
433	0.2725151994
434	0.27231597
435	0.2720640494
436	0.2719150621
437	0.2717797604
438	0.2714387584
439	0.2713240328
440	0.2710305099
441	0.2709434876
442	0.2707388514
443	0.2706419076
444	0.2705012667
445	0.2703899061
446	0.2701876906
447	0.2699618172
448	0.2697506213
449	0.2696274163
450	0.2694083188
451	0.2691722391
452	0.2690086673
453	0.2688121596
454	0.268473803
455	0.2683010272
456	0.2682631999
457	0.2682285463
458	0.26774422
459	0.2674940821
460	0.2671688078
461	0.267143855
462	0.2670896274
463	0.2668059597
464	0.2662729038
465	0.2660515331
466	0.2658731305
467	0.2656612341
468	0.265566401
469	0.2655299906
470	0.2652387211
471	0.2650304564
472	0.2649055881
473	0.26463194
474	0.2639223769
475	0.2638407612
476	0.2638102908
477	0.2636860452
478	0.2636290386
479	0.2633241614
480	0.2627829853
481	0.2627320745
482	0.262534086
483	0.2624301475
484	0.2620501187
485	0.2619391611
486	0.2618407038
487	0.2616976348
488	0.2610569046
489	0.260947345
490	0.2608730105
491	0.2606549948
492	0.2605806477
493	0.2600439531
494	0.2599449098
495	0.259712272
496	0.2596392858
497	0.2595270187
498	0.2594191521
499	0.2592550575
500	0.2589822386
501	0.2587317899
502	0.2585142036
503	0.2584925115
504	0.2583280677
505	0.2582004011
506	0.2580316301
507	0.2579402825
508	0.2577475769
509	0.2576945978
510	0.2574735454
511	0.2574115807
512	0.2573081531
513	0.2572557803
514	0.2570924853
515	0.2569836501
516	0.2565790645
517	0.2564719768
518	0.2563251939
519	0.2561842871
520	0.2560426039
521	0.2559715395
522	0.255915815
523	0.2558913605
524	0.255760262
525	0.2555607666
526	0.2555331918
527	0.2554593926
528	0.2552921923
529	0.2550907137
530	0.2549632572
531	0.254837356
532	0.2544488326
533	0.2543622965
534	0.254298928
535	0.254191841
536	0.2538729663
537	0.2538190089
538	0.2536601416
539	0.2535051012
540	0.2533844905
541	0.2531502427
542	0.2530212424
543	0.2529858399
544	0.2529590742
545	0.2529085644
546	0.2528935097
547	0.2528621396
548	0.2527807298
549	0.2527509379
550	0.2525919392
551	0.2524391647
552	0.2523356532
553	0.2521488548
554	0.2520776849
555	0.2519876179
556	0.2519310814
557	0.2518619611
558	0.2517674661
559	0.2516059074
560	0.2513858408
561	0.2512671135
562	0.2510928717
563	0.2510326852
564	0.2508662709
565	0.2508049788
566	0.2506705789
567	0.2505750946
568	0.2505457728
569	0.2503607144
570	0.2502849329
571	0.2502461404
572	0.2498311136
573	0.2497841973
574	0.2497288509
575	0.2497101451
576	0.2494623943
577	0.2494232125
578	0.2493343028
579	0.2492180615
580	0.2491419969
581	0.2489904638
582	0.2488770133
583	0.2487649348
584	0.2485939459
585	0.2485335508
586	0.2484714024
587	0.2483171089
588	0.2481907913
589	0.2481677388
590	0.2478657304
591	0.2477985004
592	0.2476650548
593	0.2476355468
594	0.2475685252
595	0.2475234395
596	0.2474050075
597	0.2473029796
598	0.2472248429
599	0.2471183267
600	0.2470965755
601	0.2469580568
602	0.2468705127
603	0.2467526057
604	0.2467200853
605	0.2466866067
606	0.2466507351
607	0.2465872204
608	0.2465662561
609	0.2465532901
610	0.2464216591
611	0.2462631601
612	0.2460714717
613	0.2459208687
614	0.2458195356
615	0.2456670673
616	0.2455674367
617	0.245429131
618	0.2452564735
619	0.2452174768
620	0.2450933575
621	0.2449851064
622	0.2449121292
623	0.2448438349
624	0.2447002494
625	0.2446193617
626	0.2444374945
627	0.2443143778
628	0.2442054413
629	0.2440959111
630	0.2439975138
631	0.2438518224
632	0.2437264078
633	0.243598219
634	0.2433602034
635	0.2431711162
636	0.2429896715
637	0.2428858447
638	0.2428385824
639	0.2427886256
640	0.2426936815
641	0.2425197775
642	0.2424501185
643	0.242314739
644	0.2422399191
645	0.2421953892
646	0.2421403308
647	0.2420294879
648	0.2420072187
649	0.2419057439
650	0.2418350328
651	0.2417174194
652	0.241583872
653	0.241478608
654	0.2413331638
655	0.2412284835
656	0.2410943715
657	0.240965819
658	0.2407558645
659	0.240718746
660	0.2405890245
661	0.2404936063
662	0.2404092834
663	0.2403189593
664	0.2402688794
665	0.2401436111
666	0.240094726
667	0.2400205642
668	0.2399987266
669	0.2398419598
670	0.2397573106
671	0.2397000368
672	0.2395087359
673	0.2394068316
674	0.2393873523
675	0.2393233275
676	0.239244325
677	0.2391487023
678	0.2390447226
679	0.2389706198
680	0.2388413632
681	0.238759041
682	0.2386787978
683	0.2386221679
684	0.238496015
685	0.2384504463
686	0.2383612681
687	0.2381354982
688	0.2380847891
689	0.2378569943
690	0.2376914361
691	0.2373439498
692	0.2370557891
693	0.2366937983
694	0.2363777593
695	0.236067243
696	0.2358371212
697	0.2356179739
698	0.2354469541
699	0.2353215153
700	0.2350389107
701	0.2348988129
702	0.2346056766
703	0.2344760339
704	0.2341883571
705	0.2339537096
706	0.2338418412
707	0.2337139806
708	0.2335690363
709	0.2334287475
710	0.2333475856
711	0.2331597676
712	0.2330792927
713	0.2330480986
714	0.2328803057
715	0.2328146002
716	0.2326960836
717	0.2326339298
718	0.2325508361
719	0.2324508021
720	0.2323062295
721	0.2322145343
722	0.2320299017
723	0.2318441079
724	0.2317424976
725	0.2316407861
726	0.2315097454
727	0.231415183
728	0.2312470348
729	0.2312292261
730	0.2311653499
731	0.2310779119
732	0.2308527388
733	0.2308236413
734	0.2307645793
735	0.2307469857
736	0.2305708111
737	0.2305219108
738	0.2304529181
739	0.2303630322
740	0.2303340726
741	0.2302715834
742	0.2302328529
743	0.2301969834
744	0.2300832727
745	0.2300131274
746	0.2299371716
747	0.2299175513
748	0.2298761135
749	0.2298120988
750	0.2297514398
751	0.2295934697
752	0.2295418198
753	0.2294948538
754	0.229421767
755	0.2293749916
756	0.2292783684
757	0.2292455546
758	0.2291714362
759	0.2290891359
760	0.2290746866
761	0.2290012642
762	0.2289583137
763	0.2289315117
764	0.2288911502
765	0.2288569983
766	0.2287805688
767	0.2286741971
768	0.2285940676
769	0.2284750707
770	0.2284222233
771	0.2282665169
772	0.228199879
773	0.228134874
774	0.2280982437
775	0.228051482
776	0.2279910631
777	0.2279719559
778	0.227949035
779	0.227857509
780	0.2277555099
781	0.2276251371
782	0.2275871878
783	0.2275307571
784	0.2274851811
785	0.2274425832
786	0.2274081188
787	0.2273866503
788	0.227328534
789	0.2271601231
790	0.2271398389
791	0.2270311398
792	0.2270104883
793	0.2269920871
794	0.2269658298
795	0.2268906712
796	0.2268410158
797	0.226787743
798	0.2266916654
799	0.2266162401
800	0.2265685754
801	0.2265164876
802	0.2264362372
803	0.2264200269
804	0.2263166096
805	0.226191135
806	0.2261732175
807	0.2260608732
808	0.2260348489
809	0.2259893287
810	0.2259520928
811	0.225925739
812	0.2258668569
813	0.225802304
814	0.2257371592
815	0.2256798814
816	0.2256541145
817	0.2255971488
818	0.2255783232
819	0.2255544139
820	0.2254776737
821	0.2254067804
822	0.2253887783
823	0.2253218112
824	0.2253043615
825	0.2252508465
826	0.225112696
827	0.2249234175
828	0.2247189536
829	0.2245447456
830	0.2243549605
831	0.2241153747
832	0.2239061062
833	0.2237113822
834	0.2236386553
835	0.2233830717
836	0.2231472501
837	0.2230160923
838	0.2228923922
839	0.2227144605
840	0.2226563923
841	0.222600213
842	0.2225550422
843	0.2225345095
844	0.2224989065
845	0.2224450967
846	0.2224081112
847	0.2223601501
848	0.2223443045
849	0.2221514345
850	0.2220398867
851	0.2219656183
852	0.2219495497
853	0.2218530212
854	0.2218093773
855	0.2216990403
856	0.2215912141
857	0.2215716622
858	0.2214785072
859	0.2213417004
860	0.2213036179
861	0.2212378949
862	0.2211244431
863	0.2211117051
864	0.2210767838
865	0.2210262921
866	0.221016519
867	0.2209989835
868	0.2209829624
869	0.22093593
870	0.2209257429
871	0.2209071897
872	0.2208893864
873	0.2208376152
874	0.2208175672
875	0.2208049637
876	0.2207937095
877	0.2207299092
878	0.2207200571
879	0.2206813195
880	0.2206546992
881	0.2206204965
882	0.2205386587
883	0.2205260516
884	0.220469054
885	0.2204113852
886	0.2203535288
887	0.2202951874
888	0.2202064199
889	0.2201728335
890	0.2201197511
891	0.2200983791
892	0.2198806292
893	0.219847794
894	0.2198171595
895	0.2197583036
896	0.2197036091
897	0.2196682743
898	0.2196557304
899	0.2195925587
900	0.2194968257
901	0.2194151366
902	0.2193285773
903	0.2193058983
904	0.219272302
905	0.219255808
906	0.2192084448
907	0.2191732737
908	0.219102198
909	0.21908447
910	0.2190664314
911	0.2190510703
912	0.2190335109
913	0.2189931697
914	0.2189786753
915	0.2189598015
916	0.2189458062
917	0.2188862618
918	0.2188689526
919	0.2188253668
920	0.2187646808
921	0.2187422008
922	0.2187318184
923	0.2186107145
924	0.2185632632
925	0.2184760338
926	0.218362794
927	0.2183150995
928	0.2182989779
929	0.2182265271
930	0.2182136116
931	0.2181117018
932	0.2180854666
933	0.2180711097
934	0.2180393923
935	0.2179857198
936	0.2179666413
937	0.21788935
938	0.2178777773
939	0.2178594842
940	0.2177881298
941	0.217749774
942	0.2177105491
943	0.2176358702
944	0.2176082757
945	0.2175371992
946	0.2174873059
947	0.2174398315
948	0.2174202181
949	0.2173917079
950	0.2173840368
951	0.2173733065
952	0.2173616012
953	0.2173356099
954	0.2173192304
955	0.2172751235
956	0.2172314448
957	0.217190139
958	0.2171560205
959	0.2171213764
960	0.2171045143
961	0.21704096
962	0.2170245666
963	0.2169142876
964	0.2167708613
965	0.2166089146
966	0.2164824481
967	0.2164672863
968	0.2164282323
969	0.2164079334
970	0.2163909125
971	0.2163724821
972	0.2163187009
973	0.2162896587
974	0.2162726378
975	0.2162605809
976	0.2162477362
977	0.2161337226
978	0.216091084
979	0.2158785612
980	0.2157862952
981	0.2155938105
982	0.2155748658
983	0.2155508161
984	0.2155061249
985	0.2154965134
986	0.2154441324
987	0.2154030624
988	0.2153918009
989	0.2153668709
990	0.2153503247
991	0.2153319644
992	0.2152954318
993	0.215191729
994	0.2151740744
995	0.2151004346
996	0.2150720732
997	0.2150209589
998	0.2150063397
999	0.2149632955
1000	0.2149479841
1001	0.214907985
1002	0.2148911779
1003	0.2148357403
1004	0.2146797123
1005	0.214539979
1006	0.2144252136
1007	0.2143854328
1008	0.2143329957
1009	0.2143071478
1010	0.2142920047
1011	0.2142533682
